Departure Time           Arrival Time
---------------------     ---------------------
2010-05-15 08:00:00      2010-05-15 10:30:00
2011-09-22 10:45:00      2011-09-22 13:15:00
2012-07-08 14:30:00      2012-07-08 17:00:00
2013-03-12 18:45:00      2013-03-12 21:15:00
2014-11-05 06:15:00      2014-11-05 08:45:00
2015-08-19 09:30:00      2015-08-19 12:00:00
2016-04-27 13:45:00      2016-04-27 16:15:00
2017-01-01 17:00:00      2017-01-01 19:30:00
2018-10-14 07:30:00      2018-10-14 10:00:00
2019-06-25 11:15:00      2019-06-25 13:45:00
2020-02-29 15:30:00      2020-02-29 18:00:00
2010-08-03 19:45:00      2010-08-03 22:15:00
2011-06-07 08:15:00      2011-06-07 10:45:00
2012-12-10 11:30:00      2012-12-10 14:00:00
2013-09-16 15:45:00      2013-09-16 18:15:00
2014-05-20 19:00:00      2014-05-20 21:30:00
2015-03-24 07:00:00      2015-03-24 09:30:00
2016-10-01 10:45:00      2016-10-01 13:15:00
2017-08-05 14:30:00      2017-08-05 17:00:00
2018-04-11 18:45:00      2018-04-11 21:15:00
2019-01-14 06:15:00      2019-01-14 08:45:00
2020-07-22 09:30:00      2020-07-22 12:00:00
2010-11-28 13:45:00      2010-11-28 16:15:00
2011-09-02 17:00:00      2011-09-02 19:30:00
2012-05-08 07:30:00      2012-05-08 10:00:00
2013-01-13 11:15:00      2013-01-13 13:45:00
2014-09-19 15:30:00      2014-09-19 18:00:00
2015-06-23 19:45:00      2015-06-23 22:15:00
2016-03-04 08:15:00      2016-03-04 10:45:00
2017-11-17 11:30:00      2017-11-17 14:00:00
2018-08-30 15:45:00      2018-08-30 18:15:00
2019-04-06 19:00:00      2019-04-06 21:30:00
2020-01-09 07:00:00      2020-01-09 09:30:00
2010-06-15 10:45:00      2010-06-15 13:15:00
2011-10-22 14:30:00      2011-10-22 17:00:00
2012-08-08 18:45:00      2012-08-08 21:15:00
2013-04-12 06:15:00      2013-04-12 08:45:00
2014-12-05 09:30:00      2014-12-05 12:00:00
2015-08-19 13:45:00      2015-08-19 16:15:00
2016-05-27 17:00:00      2016-05-27 19:30:00
2017-02-02 07:30:00      2017-02-02 10:00:00
2018-11-15 11:15:00      2018-11-15 13:45:00
2019-07-25 15:30:00      2019-07-25 18:00:00
2020-03-03 19:45:00      2020-03-03 22:15:00
2010-09-12 08:15:00      2010-09-12 10:45:00
2011-07-18 11:30:00      2011-07-18 14:00:00
2012-01-24 15:45:00      2012-01-24 18:15:00
2013-09-29 19:00:00      2013-09-29 21:30:00
2014-06-10 07:00:00      2014-06-10 09:30:00
2015-02-14 10:45:00      2015-02-14 13:15:00
2016-10-21 14:30:00      2016-10-21 17:00:00
2017-08-25 18:45:00      2017-08-25 21:15:00
2018-05-02 06:15:00      2018-05-02 08:45:00
2019-01-07 09:30:00      2019-01-07 12:00:00
2020-07-18 13:45:00      2020-07-18 16:15:00
2010-03-22 17:00:00      2010-03-22 19:30:00
2011-11-05 07:30:00      2011-11-05 10:00:00
2012-07-16 11:15:00      2012-07-16 13:45:00
2013-04-22 15:30:00      2013-04-22 18:00:00
2014-01-27 19:45:00      2014-01-27 22:15:00
2015-09-08 08:15:00      2015-09-08 10:45:00
2016-06-18 11:30:00      2016-06-18 14:00:00
2017-02-24 15:45:00      2017-02-24 18:15:00
2018-10-07 19:00:00      2018-10-07 21:30:00
2019-07-11 07:00:00      2019-07-11 09:30:00
2020-04-16 10:45:00      2020-04-16 13:15:00
2010-05-17 08:00:00      2010-05-17 10:30:00
2011-07-22 10:45:00      2011-07-22 13:15:00
2012-09-13 14:30:00      2012-09-13 17:00:00
2013-12-05 18:45:00      2013-12-05 21:15:00
2014-08-21 06:15:00      2014-08-21 08:45:00
2015-10-09 09:30:00      2015-10-09 12:00:00
2016-02-14 13:45:00      2016-02-14 16:15:00
2017-06-28 17:00:00      2017-06-28 19:30:00
2018-04-03 07:30:00      2018-04-03 10:00:00
2019-11-11 11:15:00      2019-11-11 13:45:00
2020-08-27 15:30:00      2020-08-27 18:00:00
2010-03-19 19:45:00      2010-03-19 22:15:00
2011-09-02 08:15:00      2011-09-02 10:45:00
2012-11-25 11:30:00      2012-11-25 14:00:00
2013-05-07 15:45:00      2013-05-07 18:15:00
2014-10-30 19:00:00      2014-10-30 21:30:00
2015-06-14 07:00:00      2015-06-14 09:30:00
2016-08-19 10:45:00      2016-08-19 13:15:00
2017-01-01 14:30:00      2017-01-01 17:00:00
2018-04-25 18:45:00      2018-04-25 21:15:00
2019-12-10 06:15:00      2019-12-10 08:45:00
2020-09-30 09:30:00      2020-09-30 12:00:00
2010-06-26 13:45:00      2010-06-26 16:15:00
2011-12-08 17:00:00      2011-12-08 19:30:00
2012-10-14 07:30:00      2012-10-14 10:00:00
2013-08-03 11:15:00      2013-08-03 13:45:00
2014-03-28 15:30:00      2014-03-28 18:00:00
2015-09-16 19:45:00      2015-09-16 22:15:00
2016-11-20 08:15:00      2016-11-20 10:45:00
2017-04-02 11:30:00      2017-04-02 14:00:00
2018-01-19 15:45:00      2018-01-19 18:15:00
