Code;CodeShare;Stops;Source Airport ID;Destination Airport;Airline ID;;;;;;;;;;;;;;;;
1;;0;2965;KZN;410;;;;;;;;;;;;;;;;
2;;0;2966;KZN;410;;;;;;;;;;;;;;;;
3;;0;2966;MRV;410;;;;;;;;;;;;;;;;
4;;0;2968;KZN;410;;;;;;;;;;;;;;;;
5;;0;2968;OVB;410;;;;;;;;;;;;;;;;
6;;0;4029;KZN;410;;;;;;;;;;;;;;;;
7;;0;4029;NBC;410;;;;;;;;;;;;;;;;
8;;0;4029;TGK;410;;;;;;;;;;;;;;;;
9;;0;4029;UUA;410;;;;;;;;;;;;;;;;
10;;0;6156;KGD;410;;;;;;;;;;;;;;;;
11;;0;6156;KZN;410;;;;;;;;;;;;;;;;
12;;0;2922;NBC;410;;;;;;;;;;;;;;;;
13;;0;2952;EGO;410;;;;;;;;;;;;;;;;
14;;0;2990;AER;410;;;;;;;;;;;;;;;;
15;;0;2990;ASF;410;;;;;;;;;;;;;;;;
16;;0;2990;CEK;410;;;;;;;;;;;;;;;;
17;;0;2990;DME;410;;;;;;;;;;;;;;;;
18;;0;2990;EGO;410;;;;;;;;;;;;;;;;
19;;0;2990;LED;410;;;;;;;;;;;;;;;;
20;;0;2990;SVX;410;;;;;;;;;;;;;;;;
21;;0;2948;KZN;410;;;;;;;;;;;;;;;;
22;;0;2948;NBC;410;;;;;;;;;;;;;;;;
23;;0;2948;UUA;410;;;;;;;;;;;;;;;;
24;;0;2962;ASF;410;;;;;;;;;;;;;;;;
25;;0;6969;DME;410;;;;;;;;;;;;;;;;
26;;0;6969;GYD;410;;;;;;;;;;;;;;;;
27;;0;6969;LED;410;;;;;;;;;;;;;;;;
28;;0;6969;SVX;410;;;;;;;;;;;;;;;;
29;;0;2972;SVX;410;;;;;;;;;;;;;;;;
30;;0;2972;UUA;410;;;;;;;;;;;;;;;;
31;;0;4364;SVX;410;;;;;;;;;;;;;;;;
32;;0;4078;CEK;410;;;;;;;;;;;;;;;;
33;;0;4078;SVX;410;;;;;;;;;;;;;;;;
34;;0;2975;KZN;410;;;;;;;;;;;;;;;;
35;;0;2975;NBC;410;;;;;;;;;;;;;;;;
36;;0;2975;NJC;410;;;;;;;;;;;;;;;;
37;;0;2975;NUX;410;;;;;;;;;;;;;;;;
38;;0;2975;OVB;410;;;;;;;;;;;;;;;;
39;;0;\N;DME;410;;;;;;;;;;;;;;;;
40;;0;6160;DME;410;;;;;;;;;;;;;;;;
41;;0;6160;LED;410;;;;;;;;;;;;;;;;
42;;0;6160;NJC;410;;;;;;;;;;;;;;;;
43;;0;2936;IKT;1654;;;;;;;;;;;;;;;;
44;;0;2936;OVB;1654;;;;;;;;;;;;;;;;
45;;0;2968;OVB;1654;;;;;;;;;;;;;;;;
46;;0;2935;IKT;1654;;;;;;;;;;;;;;;;
47;;0;2937;BTK;1654;;;;;;;;;;;;;;;;
