ID;Name;IATA;ICAO;Latitude;Longitude;iso_code
1;Goroka Airport;GKA;AYGA;-6.081689834590001;145.391998291;PG
2;Madang Airport;MAG;AYMD;-5.20707988739;145.789001465;PG
3;Mount Hagen Kagamuga Airport;HGU;AYMH;-5.826789855957031;144.29600524902344;PG
4;Nadzab Airport;LAE;AYNZ;-6.569803;146.725977;PG
5;Port Moresby Jacksons International Airport;POM;AYPY;-9.443380355834961;147.22000122070312;PG
6;Wewak International Airport;WWK;AYWK;-3.58383011818;143.669006348;PG
7;Narsarsuaq Airport;UAK;BGBW;61.1604995728;-45.4259986877;GL
8;Godthaab / Nuuk Airport;GOH;BGGH;64.19090271;-51.6781005859;GL
9;Kangerlussuaq Airport;SFJ;BGSF;67.0122218992;-50.7116031647;GL
10;Thule Air Base;THU;BGTL;76.5311965942;-68.7032012939;GL
11;Akureyri Airport;AEY;BIAR;65.66000366210938;-18.07270050048828;IS
12;Egilsstaðir Airport;EGS;BIEG;65.2833023071289;-14.401399612426758;IS
13;Hornafjörður Airport;HFN;BIHN;64.295601;-15.2272;IS
14;Húsavík Airport;HZK;BIHU;65.952301;-17.426001;IS
15;Ísafjörður Airport;IFJ;BIIS;66.05809783935547;-23.135299682617188;IS
16;Keflavik International Airport;KEF;BIKF;63.985000610352;-22.605600357056;IS
17;Patreksfjörður Airport;PFJ;BIPA;65.555801;-23.965;IS
18;Reykjavik Airport;RKV;BIRK;64.1299972534;-21.9405994415;IS
19;Siglufjörður Airport;SIJ;BISI;66.133301;-18.9167;IS
20;Vestmannaeyjar Airport;VEY;BIVM;63.42430114746094;-20.278900146484375;IS
21;Sault Ste Marie Airport;YAM;CYAM;46.48500061035156;-84.5093994140625;CA
22;Winnipeg / St. Andrews Airport;\N;CYAV;50.0564002991;-97.03250122070001;CA
23;Halifax / CFB Shearwater Heliport;\N;CYAW;44.639702;-63.499401;CA
24;St. Anthony Airport;YAY;CYAY;51.3918991089;-56.083099365200006;CA
25;Tofino / Long Beach Airport;YAZ;CYAZ;49.079833;-125.775583;CA
26;Kugaaruk Airport;YBB;CYBB;68.534401;-89.808098;CA
27;Baie Comeau Airport;YBC;CYBC;49.13249969482422;-68.20439910888672;CA
28;CFB Bagotville;YBG;CYBG;48.33060073852539;-70.99639892578125;CA
29;Baker Lake Airport;YBK;CYBK;64.29889678960001;-96.077796936;CA
30;Campbell River Airport;YBL;CYBL;49.950801849365234;-125.27100372314453;CA
31;Brandon Municipal Airport;YBR;CYBR;49.91;-99.951897;CA
32;Cambridge Bay Airport;YCB;CYCB;69.1081008911;-105.138000488;CA
33;Nanaimo Airport;YCD;CYCD;49.054970224899996;-123.869862556;CA
34;Castlegar/West Kootenay Regional Airport;YCG;CYCG;49.2963981628;-117.632003784;CA
35;Miramichi Airport;YCH;CYCH;47.007801;-65.449203;CA
36;Charlo Airport;YCL;CYCL;47.990799;-66.330299;CA
37;Kugluktuk Airport;YCO;CYCO;67.816704;-115.143997;CA
38;Coronation Airport;YCT;CYCT;52.0750007629;-111.444999695;CA
39;Chilliwack Airport;YCW;CYCW;49.1528015137;-121.939002991;CA
40;Clyde River Airport;YCY;CYCY;70.4860992432;-68.5167007446;CA
41;Coral Harbour Airport;YZS;CYZS;64.1932983398;-83.3593978882;CA
42;Dawson City Airport;YDA;CYDA;64.04309844970703;-139.1280059814453;CA
43;Burwash Airport;YDB;CYDB;61.37110137939453;-139.04100036621094;CA
44;Princeton Airport;\N;CYDC;49.4681015015;-120.511001587;CA
45;Deer Lake Airport;YDF;CYDF;49.21080017089844;-57.39139938354492;CA
46;Dease Lake Airport;YDL;CYDL;58.4221992493;-130.031997681;CA
47;Dauphin Barker Airport;YDN;CYDN;51.100799560546875;-100.052001953125;CA
48;Dawson Creek Airport;YDQ;CYDQ;55.7422981262207;-120.18299865722656;CA
49;Edmonton International Airport;YEG;CYEG;53.309700012200004;-113.580001831;CA
50;Arviat Airport;YEK;CYEK;61.0942001343;-94.07080078119999;CA
51;Estevan Airport;YEN;CYEN;49.2103004456;-102.966003418;CA
52;Edson Airport;YET;CYET;53.578899383499994;-116.464996338;CA
53;Eureka Airport;YEU;CYEU;79.9946975708;-85.814201355;CA
54;Inuvik Mike Zubko Airport;YEV;CYEV;68.30419921880001;-133.483001709;CA
55;Iqaluit Airport;YFB;CYFB;63.756402;-68.555801;CA
56;Fredericton Airport;YFC;CYFC;45.868900299072266;-66.53720092773438;CA
57;Forestville Airport;YFE;CYFE;48.74610137939453;-69.09719848632812;CA
58;Flin Flon Airport;YFO;CYFO;54.6781005859375;-101.68199920654297;CA
59;Fort Resolution Airport;YFR;CYFR;61.1808013916;-113.690002441;CA
60;Fort Simpson Airport;YFS;CYFS;61.76020050048828;-121.23699951171875;CA
61;Kingston Norman Rogers Airport;YGK;CYGK;44.22529983520508;-76.5969009399414;CA
62;La Grande Rivière Airport;YGL;CYGL;53.625301361083984;-77.7042007446289;CA
63;Gaspé (Michel-Pouliot) Airport;YGP;CYGP;48.7752990723;-64.4785995483;CA
64;Geraldton Greenstone Regional Airport;YGQ;CYGQ;49.77830123901367;-86.93939971923828;CA
65;Îles-de-la-Madeleine Airport;YGR;CYGR;47.42470169067383;-61.778099060058594;CA
66;Hudson Bay Airport;YHB;CYHB;52.8166999817;-102.310997009;CA
67;Dryden Regional Airport;YHD;CYHD;49.831699;-92.744202;CA
68;Ulukhaktok Holman Airport;YHI;CYHI;70.76280212402344;-117.80599975585938;CA
69;Gjoa Haven Airport;YHK;CYHK;68.635597229;-95.84970092770001;CA
70;John C. Munro Hamilton International Airport;YHM;CYHM;43.173599243199995;-79.93499755859999;CA
71;Montréal / Saint-Hubert Airport;YHU;CYHU;45.5175018311;-73.4169006348;CA
72;Hay River / Merlyn Carter Airport;YHY;CYHY;60.8396987915;-115.782997131;CA
73;Halifax / Stanfield International Airport;YHZ;CYHZ;44.8807983398;-63.5085983276;CA
74;Atikokan Municipal Airport;YIB;CYIB;48.7738990784;-91.6386032104;CA
75;Pond Inlet Airport;YIO;CYIO;72.6832962036;-77.9666976929;CA
76;St Jean Airport;YJN;CYJN;45.29439926147461;-73.28109741210938;CA
77;Stephenville Airport;YJT;CYJT;48.5442008972168;-58.54999923706055;CA
78;Kamloops Airport;YKA;CYKA;50.7022018433;-120.444000244;CA
79;Waterloo Airport;YKF;CYKF;43.460800170899994;-80.3786010742;CA
80;Schefferville Airport;YKL;CYKL;54.805301666259766;-66.8052978515625;CA
81;Kindersley Airport;YKY;CYKY;51.5175018311;-109.180999756;CA
82;Buttonville Municipal Airport;YKZ;CYKZ;43.86220169067383;-79.37000274658203;CA
83;Chapleau Airport;YLD;CYLD;47.81999969482422;-83.3467025756836;CA
84;Meadow Lake Airport;YLJ;CYLJ;54.125301361083984;-108.52300262451172;CA
85;Lloydminster Airport;YLL;CYLL;53.309200286865234;-110.072998046875;CA
86;Alert Airport;YLT;CYLT;82.51779937740001;-62.2806015015;CA
87;Kelowna International Airport;YLW;CYLW;49.9561004639;-119.377998352;CA
88;Mayo Airport;YMA;CYMA;63.61640167236328;-135.8679962158203;CA
89;Moose Jaw Air Vice Marshal C. M. McEwen Airport;YMJ;CYMJ;50.330299377441406;-105.55899810791016;CA
90;Fort McMurray Airport;YMM;CYMM;56.653301239;-111.222000122;CA
91;Moosonee Airport;YMO;CYMO;51.291099548339844;-80.60780334472656;CA
92;Maniwaki Airport;YMW;CYMW;46.2728004456;-75.9906005859;CA
93;Montreal International (Mirabel) Airport;YMX;CYMX;45.679501;-74.038696;CA
94;Natashquan Airport;YNA;CYNA;50.189998626708984;-61.78919982910156;CA
95;Ottawa / Gatineau Airport;YND;CYND;45.521701812699995;-75.5635986328;CA
96;Matagami Airport;YNM;CYNM;49.76169967651367;-77.80280303955078;CA
97;Old Crow Airport;YOC;CYOC;67.57060241699219;-139.83900451660156;CA
98;CFB Cold Lake;YOD;CYOD;54.404998779296875;-110.27899932861328;CA
99;High Level Airport;YOJ;CYOJ;58.62139892578125;-117.16500091552734;CA
100;Ottawa Macdonald-Cartier International Airport;YOW;CYOW;45.3224983215332;-75.66919708251953;CA
101;Prince Albert Glass Field;YPA;CYPA;53.214199066199996;-105.672996521;CA
102;Peace River Airport;YPE;CYPE;56.226898;-117.446999;CA
103;Southport Airport;YPG;CYPG;49.903099;-98.273817;CA
104;Pitt Meadows Airport;\N;CYPK;49.21609878540039;-122.70999908447266;CA
105;Pickle Lake Airport;YPL;CYPL;51.4463996887207;-90.21420288085938;CA
106;Port Menier Airport;YPN;CYPN;49.83639907836914;-64.2885971069336;CA
107;Peterborough Airport;YPQ;CYPQ;44.22999954223633;-78.36329650878906;CA
108;Prince Rupert Airport;YPR;CYPR;54.286098480199996;-130.445007324;CA
109;Fort Chipewyan Airport;YPY;CYPY;58.7672004699707;-111.11699676513672;CA
110;Muskoka Airport;YQA;CYQA;44.974700927734375;-79.30329895019531;CA
111;Quebec Jean Lesage International Airport;YQB;CYQB;46.7911;-71.393303;CA
